ID,A_name_in_paper,A_category,relationship,B_name_in_paper,B_ensembl,B_category,mechanism,key_molecular ,key_molecular_category,detail mechanism,method,species,detial,pmid,article_title
LncReg_1010,Blnc1,lncRNA,up,EBF2,ENSG00000221818.7,protein coding,transcriptional regulation,,,,qPCR;ChIP,Mus musculus ,EBF2 Physically Interacts with Blnc1 and Induce s Blnc1 Expression.,25002143,A long noncoding RNA transcriptional regulatory circuit drives thermogenic adipocyte differentiation
LncReg_1011,HOTAIR,lncRNA,up,c-myc,ENSG00000136997.13,protein coding,transcriptional regulation,,,,qPCR;luciferase assay;ChIP;EMSA,Homo sapiens,We demonstrate that HOTAIR is a direct target of c-Myc through interaction with putative c-Myc target response element (RE) in the upstream region of HOTAIR in gallbladder cancer cells. ,24953832,"Long non-coding RNA HOTAIR, a c-Myc activated driver of malignancy, negatively regulates MIR130a in gallbladder cancer"
LncReg_1013,XIST,lncRNA,down,Hprt,ENSG00000165704.13,protein coding,transcriptional regulation,,,,activity assay;Northern blot,Mus musculus ,"The Hprt enzyme activity level of Xist-deficient ectoplacental cones was nearly twice that of wild-type ectoplacental cones (Fig. 4A). Because the mutant ectoplacental cones are primarily composed of extraembryonic cells (Fig. 3G), we conclude that there is approximately a two-fold increase in X-linked Hprt gene expression in mutant extraembryonic cells, suggesting that both Hprt alleles were expressed.;(G) Northern analysis of RNA extracted from undifferentiated clone 65 ES cells grown in the presence of doxycycline (dox) for 24 hr or 48 hr or without doxycycline. Repression of the X-linked Hprt and Pgk genes is observed. Utx, which escapes X inactivation in mouse, Gapdh (located on chromosome 6), Oct4 (chromosome 17), and Dnmt (chromosome 9) are unaffected.",9009199;10882105,Xist-deficient mice are defective in dosage compensation but not spermatogenesis;A shift from reversible to irreversible X inactivation is triggered during ES cell differentiation
LncReg_1014,XIST,lncRNA,down,Pgk1,ENSG00000102144.12,protein coding,transcriptional regulation,hnRNP U,hnRNP,"The ratio of biallelic expression increased from 8% to 22% and 22% to 39% for PGK1 and MeCP2 ( Figures 4 G and 4H), respectively, suggesting that hnRNP U is required for the establishment of the monoallelic expression of X-linked genes.",Northern blot;FISH,Mus musculus ,"(G) Northern analysis of RNA extracted from undifferentiated clone 65 ES cells grown in the presence of doxycycline (dox) for 24 hr or 48 hr or without doxycycline. Repression of the X-linked Hprt and Pgk genes is observed. Utx, which escapes X inactivation in mouse, Gapdh (located on chromosome 6), Oct4 (chromosome 17), and Dnmt (chromosome 9) are unaffected.;The ratio of biallelic expression increased from 8% to 22% and 22% to 39% for PGK1 and MeCP2 ( Figures 4 G and 4H), respectively, suggesting that hnRNP U is required for the establishment of the monoallelic expression of X-linked genes.",10882105;20833368,A shift from reversible to irreversible X inactivation is triggered during ES cell differentiation;The matrix protein hnRNP U is required for chromosomal localization of Xist RNA
LncReg_1015,XIST,lncRNA,up,Eed,ENSG00000074266.16,protein coding,transcriptional regulation,,,,IF;qRT-PCR,Mus musculus ,"Indeed, Eed and Ezh2 knockdown in d6 female EB led to significant reductions in Xist and H3-K27me3 foci (Fig. 4E–H). Therefore, PRC2 also plays a role in Xist upregulation and XCI.",18974356,Polycomb proteins targeted by a short repeat RNA to the mouse X chromosome
LncReg_1016,XIST,lncRNA,up,Ezh2,ENSG00000106462.9,protein coding,transcriptional regulation,,,,IF;qRT-PCR,Mus musculus ,"Indeed, Eed and Ezh2 knockdown in d6 female EB led to significant reductions in Xist and H3-K27me3 foci (Fig. 4E–H). Therefore, PRC2 also plays a role in Xist upregulation and XCI.",18974356,Polycomb proteins targeted by a short repeat RNA to the mouse X chromosome
LncReg_1018,XIST,lncRNA,down,Mecp2,ENSG00000169057.18,protein coding,transcriptional regulation,Dicer;hnRNP U,protein coding;hnRNP,"Moreover, the X-linked Mecp2 gene failed to be dosage compensated in Dcr-/- cells, whereas it appropriately decreased 1.5- to 2-fold in controls (Fig. 3A). ;The ratio of biallelic expression increased from 8% to 22% and 22% to 39% for PGK1 and MeCP2 ( Figures 4 G and 4H), respectively, suggesting that hnRNP U is required for the establishment of the monoallelic expression of X-linked genes.",qRT-PCR;FISH,Mus musculus ,"Moreover, the X-linked Mecp2 gene failed to be dosage compensated in Dcr-/- cells, whereas it appropriately decreased 1.5- to 2-fold in controls (Fig. 3A). ;The ratio of biallelic expression increased from 8% to 22% and 22% to 39% for PGK1 and MeCP2 ( Figures 4 G and 4H), respectively, suggesting that hnRNP U is required for the establishment of the monoallelic expression of X-linked genes.",18535243;20833368,Intersection of the RNA interference and X-inactivation pathways;The matrix protein hnRNP U is required for chromosomal localization of Xist RNA
LncReg_1019,XIST,lncRNA,down,Lamp2,ENSG00000005893.14,protein coding,transcriptional regulation,,,,IF;FISH,Mus musculus ,Figure 2. Exclusion of the transcription ma-chinery occurs earlier than the transcriptional re-pression of three X-linked genes during X inacti-vation.,16912274,A novel role for Xist RNA in the formation of a repressive nuclear compartment into which genes are recruited when silenced
LncReg_102,lnc-IL7R,lncRNA,down,E-selectin,ENSG00000007908.14,protein coding,transcriptional regulation,H3K27me3,,"More importantly, we found that levels of H3K27me3 at the E-selectin and VCAM-1 promoters were further downregulated in LPS-treated cells with knockdown of lnc-IL7R.",qPCR;ChIP-promoter-qPCR,Homo sapiens,"These data suggest that lnc-IL7R functions as a negative regulator of LPSinduced expression of E-selectin, VCAM-1, IL-6, and IL-8.",24723426,The human long noncoding RNA lnc-IL7R regulates the inflammatory response.
LncReg_1020,XIST,lncRNA,down,G6pdx,ENSG00000160211.14,protein coding,transcriptional regulation,,,,IF;FISH,Mus musculus ,Figure 2. Exclusion of the transcription ma-chinery occurs earlier than the transcriptional re-pression of three X-linked genes during X inacti-vation.,16912274,A novel role for Xist RNA in the formation of a repressive nuclear compartment into which genes are recruited when silenced
LncReg_1021,XIST,lncRNA,down,Chic1,ENSG00000204116.10,protein coding,transcriptional regulation,,,,IF;FISH,Mus musculus ,Figure 2. Exclusion of the transcription ma-chinery occurs earlier than the transcriptional re-pression of three X-linked genes during X inacti-vation.,16912274,A novel role for Xist RNA in the formation of a repressive nuclear compartment into which genes are recruited when silenced
LncReg_1022,XIST,lncRNA,down,Jarid1c,ENSG00000126012.10,protein coding,transcriptional regulation,,,,IF;FISH,Mus musculus ,Figure 2. Exclusion of the transcription ma-chinery occurs earlier than the transcriptional re-pression of three X-linked genes during X inacti-vation.,16912274,A novel role for Xist RNA in the formation of a repressive nuclear compartment into which genes are recruited when silenced
LncReg_1023,XIST,lncRNA,down,Atrx,ENSG00000085224.19,protein coding,transcriptional regulation,,,,FISH,Homo sapiens,"To assess XCI status, X-linked genes (ATRX, FGD1 and HUWE1) were analysed by RNA FISH. In human somatic cells, these genes are silent on the inactive X chromosome (Supplementary Fig. 7). In female blastocysts, the majority of blastomeres showed two primary transcript foci for X-linked genes (ATRX and FGD1, Fig. 3a, e; HUWE1, data not shown), indicating that both X chromosomes are active. Furthermore, although small foci of H3K27me3 enrichment could be detected throughout the nucleus, no specific enrichment on the XIST-coated chromosomes was found (Fig. 3b).",21471966,Eutherian mammals use diverse strategies to initiate X-chromosome inactivation during development
LncReg_1024,XIST,lncRNA,down,Fgd1,ENSG00000102302.7,protein coding,transcriptional regulation,,,,FISH,Homo sapiens,"To assess XCI status, X-linked genes (ATRX, FGD1 and HUWE1) were analysed by RNA FISH. In human somatic cells, these genes are silent on the inactive X chromosome (Supplementary Fig. 7). In female blastocysts, the majority of blastomeres showed two primary transcript foci for X-linked genes (ATRX and FGD1, Fig. 3a, e; HUWE1, data not shown), indicating that both X chromosomes are active. Furthermore, although small foci of H3K27me3 enrichment could be detected throughout the nucleus, no specific enrichment on the XIST-coated chromosomes was found (Fig. 3b).",21471966,Eutherian mammals use diverse strategies to initiate X-chromosome inactivation during development
LncReg_1025,XIST,lncRNA,down,Huwe1,ENSG00000086758.14,protein coding,transcriptional regulation,,,,FISH,Homo sapiens,"To assess XCI status, X-linked genes (ATRX, FGD1 and HUWE1) were analysed by RNA FISH. In human somatic cells, these genes are silent on the inactive X chromosome (Supplementary Fig. 7). In female blastocysts, the majority of blastomeres showed two primary transcript foci for X-linked genes (ATRX and FGD1, Fig. 3a, e; HUWE1, data not shown), indicating that both X chromosomes are active. Furthermore, although small foci of H3K27me3 enrichment could be detected throughout the nucleus, no specific enrichment on the XIST-coated chromosomes was found (Fig. 3b).",21471966,Eutherian mammals use diverse strategies to initiate X-chromosome inactivation during development
LncReg_1028,TSIX,lncRNA,up,Pgk1,ENSG00000102144.12,protein coding,transcriptional regulation,,,,FISH,Mus musculus ,Figure 5. Long-Range Silencing of Pgk1 and Mecp2 on the Mutant X Chromosome,10520993,Targeted mutagenesis of Tsix leads to nonrandom X inactivation
LncReg_1029,TSIX,lncRNA,up,Mecp2,ENSG00000169057.18,protein coding,transcriptional regulation,,,,FISH,Mus musculus ,Figure 5. Long-Range Silencing of Pgk1 and Mecp2 on the Mutant X Chromosome,10520993,Targeted mutagenesis of Tsix leads to nonrandom X inactivation
LncReg_103,lnc-IL7R,lncRNA,down,VCAM-1,ENSG00000162692.9,protein coding,transcriptional regulation,H3K27me4,,"More importantly, we found that levels of H3K27me3 at the E-selectin and VCAM-1 promoters were further downregulated in LPS-treated cells with knockdown of lnc-IL8R.",qPCR;ChIP-promoter-qPCR,Homo sapiens,"These data suggest that lnc-IL7R functions as a negative regulator of LPSinduced expression of E-selectin, VCAM-1, IL-6, and IL-8.",24723426,The human long noncoding RNA lnc-IL7R regulates the inflammatory response.
LncReg_1030,Lrp1-as,lncRNA,down,Lrp1,ENSG00000123384.12,protein coding,transcriptional regulation,Hmgb2;Srebp1,protein coding,Figure 4. Lrp1-AS Reverses the Hmgb2-Mediated Increase in Srebp1- Dependent Lrp1 Expression,qPCR,Mus musculus ,Figure 2. Lrp1- AS Negatively Regulates Lrp1 Levels,25937287,"Antisense RNA Controls LRP1 Sense Transcript Expression through Interaction with a Chromatin-Associated Protein, HMGB2"
LncReg_1031,Bcyrn1,lncRNA,Inactive,EIF4A1,ENSG00000161960.13,protein coding,post-translational regulation,,,,activity assay,Mus musculus ,"BC1 RNA speci?cally blocks the RNA duplex unwinding activity of eIF4A but, at the same time, stimulates its ATPase activity. BC200 RNA, the primate-speci?c BC1 counterpart, targets eIF4A activity in identical fashion, as a result decoupling ATP hydrolysis from RNA duplex unwinding. In vivo, BC1 RNA represses translation of a reporter mRNA with 5 secondary structure. The eIF4A mechanism places BC RNAs in a central position to modulate protein synthesis in neurons.",18316401,Translational control by a small RNA: dendritic BC1 RNA targets the eukaryotic initiation factor 4A helicase mechanism
LncReg_1032,BC1,lncRNA,Inactive,EIF4A1,ENSG00000161960.13,protein coding,post-translational regulation,,,,activity assay,Mus musculus ,"BC1 RNA speci?cally blocks the RNA duplex unwinding activity of eIF4A but, at the same time, stimulates its ATPase activity. BC200 RNA, the primate-speci?c BC1 counterpart, targets eIF4A activity in identical fashion, as a result decoupling ATP hydrolysis from RNA duplex unwinding. In vivo, BC1 RNA represses translation of a reporter mRNA with 5 secondary structure. The eIF4A mechanism places BC RNAs in a central position to modulate protein synthesis in neurons.",18316401;16330711,Translational control by a small RNA: dendritic BC1 RNA targets the eukaryotic initiation factor 4A helicase mechanism;Dendritic BC1 RNA in translational control mechanisms
LncReg_1035,BC1,lncRNA,down,DRD2,ENSG00000149295.12,protein coding,translational regulation,,,,qPCR;Western blot,Mus musculus ,"Interestingly, when the same analysis was performed on the isolated striatum, the D 2 DR mRNA levels were still comparable (Fig. 5 C ), but the D 2 DR protein was remarkably increased(Fig.5 D).",17699670,The brain cytoplasmic RNA BC1 regulates dopamine D2 receptor-mediated transmission in the striatum
LncReg_1036,BC1,lncRNA,down,Dlg4,ENSG00000132535.17,protein coding,translational regulation,,,,qPCR;Western blot,Mus musculus ,Figure 1.Lack of BC1 RNA causes upregulation of mGluR-stimulated translation.,19675232,BC1 regulation of metabotropic glutamate receptor-mediated neuronal excitability
LncReg_1037,BC1,lncRNA,down,Fmr1,ENSG00000102081.12,protein coding,translational regulation,,,,qPCR;Western blot,Mus musculus ,Figure 1.Lack of BC1 RNA causes upregulation of mGluR-stimulated translation.,19675232,BC1 regulation of metabotropic glutamate receptor-mediated neuronal excitability
LncReg_1038,Bcyrn1,lncRNA,up,c-myc,ENSG00000136997.13,protein coding,transcriptional regulation,,,,qPCR;ChIP,Homo sapiens,"BCYRN1 is upregulated and targeted by c-MYC in NSCLC, leading to the increase of cell motility and invasiveness. RNA interference and lentivirus infection showed a positive correlation between the expressions of c-MYC and BCYRN1. ChIP assay confirmed the binding of c-MYC to the promoter region of BCYRN1 gene.",25866480,"BCYRN1, a c-MYC-activated long non-coding RNA, regulates cell metastasis of non-small-cell lung cancer"
LncReg_1039,Bcyrn1,lncRNA,up,MMP3,ENSG00000149968.10,protein coding,transcriptional regulation,,,,qPCR,Homo sapiens,The mRNA and protein expression levels of MMP9 and MMP13 descended with the decreasing BCYRN1 level and ascended with the upregulation of BCYRN1.,25866480,"BCYRN1, a c-MYC-activated long non-coding RNA, regulates cell metastasis of non-small-cell lung cancer"
LncReg_104,lnc-IL7R,lncRNA,down,IL6,ENSG00000136244.10,protein coding,transcriptional regulation,,,,qPCR,Homo sapiens,"These data suggest that lnc-IL7R functions as a negative regulator of LPSinduced expression of E-selectin, VCAM-1, IL-6, and IL-8.",24723426,The human long noncoding RNA lnc-IL7R regulates the inflammatory response.
LncReg_1040,Bcyrn1,lncRNA,up,MMP9,ENSG00000100985.7,protein coding,transcriptional regulation,,,,qPCR,Homo sapiens,The mRNA and protein expression levels of MMP9 and MMP13 descended with the decreasing BCYRN1 level and ascended with the upregulation of BCYRN1.,25866480,"BCYRN1, a c-MYC-activated long non-coding RNA, regulates cell metastasis of non-small-cell lung cancer"
LncReg_105,lnc-IL7R,lncRNA,down,IL8,ENSG00000169429.9,protein coding,transcriptional regulation,,,,qPCR,Homo sapiens,"These data suggest that lnc-IL7R functions as a negative regulator of LPSinduced expression of E-selectin, VCAM-1, IL-6, and IL-8.",24723426,The human long noncoding RNA lnc-IL7R regulates the inflammatory response.
LncReg_1050,21A,lncRNA,down,Cenpf,ENSG00000117724.11,protein coding,post-transcriptional regulation,,,,qPCR;Western blot,Homo sapiens,"As a consequence of 21A very active transcription, the level of CENP-F mRNA (as determined by real-time RT-PCR) was signi?ca ntl y de cr eas ed in p 21A /p 21A-2 –transfected cel ls, while no major CENP-F mRNA variations were observed in pMOCK/p21A-1 –transfected cells (Figure 3E–3H). Altogether these results demonstrate an inverse correlation between 21A transcription and CENP-F expression. Therefore, considering the high sequence homology between 21A transcript and three CENP-F hnRNA i nt ro nic p ortions, we suggest a mechanism of antisense inhibition of CENP-F mRNA matu-ration by the 21A transcript.",17274687,New small nuclear RNA gene-like transcriptional units as sources of regulatory transcripts
LncReg_1055,ADAMTS9-AS2,lncRNA,up,ADAMTS9,ENSG00000163638.12,protein coding,transcriptional regulation,,,,RT-PCR;Western blot,Homo sapiens,Fig. 2 ADAMTS9 mRNA expression level was coregulated together with the ADAMTS9-AS2 lncRNA overexpression or knockdown in glioma cell lines. ,24833086,A new tumor suppressor LncRNA ADAMTS9-AS2 is regulated by DNMT1 and inhibits migration of glioma cells
LncReg_1056,ADAMTS9-AS2,lncRNA,down,DNMT1,ENSG00000130816.13,protein coding,transcriptional regulation,,,,RT-PCR,Homo sapiens,"By siRNA trans-fection of three target DNA methyltransferas es genes (DNMT1, DNMT3A, an d DNMT3B) , we found that the DNMT1 siRNA let to remarkably elevation of ADAMTS9- AS2.",24833086,A new tumor suppressor LncRNA ADAMTS9-AS2 is regulated by DNMT1 and inhibits migration of glioma cells
LncReg_1057,APOA1-AS,lncRNA,down,APOA1,ENSG00000118137.8,protein coding,transcriptional regulation,,,,qPCR;ChIP;Western blot,Homo sapiens,"We have identified an endogenously expressed long non-coding natural antisense transcript, APOA1-AS, which acts as a negative transcriptional regulator of APOA1, both in vitro and in vivo. Figure 3. siRNA-mediated down-regulation of APOA1-AS",24388749,Regulation of the apolipoprotein gene cluster by a long noncoding RNA
LncReg_1058,APOA1-AS,lncRNA,down,APOC3,ENSG00000110245.10,protein coding,transcriptional regulation,,,,qPCR;ChIP,Homo sapiens,"We have identified an endogenously expressed long non-coding natural antisense transcript, APOA1-AS, which acts as a negative transcriptional regulator of APOA1, both in vitro and in vivo. Figure 3. siRNA-mediated down-regulation of APOA1-AS",24388749,Regulation of the apolipoprotein gene cluster by a long noncoding RNA
LncReg_1059,APOA1-AS,lncRNA,down,APOA4,ENSG00000110244.6,protein coding,transcriptional regulation,,,,qPCR;ChIP,Homo sapiens,"We have identified an endogenously expressed long non-coding natural antisense transcript, APOA1-AS, which acts as a negative transcriptional regulator of APOA1, both in vitro and in vivo. Figure 3. siRNA-mediated down-regulation of APOA1-AS",24388749,Regulation of the apolipoprotein gene cluster by a long noncoding RNA
LncReg_106,91H,lncRNA,down,IGF2,ENSG00000167244.16,protein coding,transcriptional regulation,,,,qPCR;IF,Homo sapiens,"After RNA interference, the expression of 91H in all cell lines were confirmed reduced than negative control (P<0.05,Table4).Thentheexpressionof IGF2 in cell lines were examined by real-time PCR and IF. The results of real -time PCR showed that the mRNA levels of IGF2 in two cell lines were significantly higher than those treated with negative control.",24706416,Long non-coding RNA 91H contributes to the occurrence and progression of esophageal squamous cell carcinoma by inhibiting IGF2 expression
LncReg_1060,ASncmtRNA,lncRNA,up,BIRC5,ENSG00000089685.13,protein coding,post-translational regulation,,,,qPCR;Western blot,Homo sapiens,FIGURE 7. ASK induces down-regulation of survivin (Sur ) and XIAP in other tumor cell lines. ,25100722,Down-regulation of the antisense mitochondrial non-coding RNAs (ncRNAs) is a unique vulnerability of cancer cells and a potential target for cancer therapy
LncReg_1061,ASncmtRNA,lncRNA,up,XIAP,ENSG00000101966.11,protein coding,post-translational regulation,,,,qPCR;Western blot,Homo sapiens,FIGURE 7. ASK induces down-regulation of survivin (Sur ) and XIAP in other tumor cell lines. ,25100722,Down-regulation of the antisense mitochondrial non-coding RNAs (ncRNAs) is a unique vulnerability of cancer cells and a potential target for cancer therapy
LncReg_1062,?250-?280,lncRNA,up,RPS14,ENSG00000164587.10,protein coding,transcriptional regulation,,,,Northern blot,Homo sapiens,Figure 6.  S14 intron  1 antisense  RNA stimulates  RPSI4 message transcription.,7867928,Regulation of human RPS14 transcription by intronic antisense RNAs and ribosomal protein S14
LncReg_1063,alncRNA-EC7,lncRNA,up,SLC4A1,ENSG00000004939.12,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Figure 7. alncRNA-EC7 is an enhancer RNA needed for expression of neighboring BAND 3. ,24200680,Global discovery of erythroid long noncoding RNAs reveals novel regulators of red cell maturation
LncReg_1065,Air,lncRNA,down,Igf2r,ENSG00000197081.11,protein coding,transcriptional regulation,,,,Hybridization,Mus musculus ,"Here we show, by inserting a polyadenylation signal that truncates 96% of the RNA transcript, that Air RNA is required for silencing. ",11845212,The non-coding Air RNA is required for silencing autosomal imprinted genes
LncReg_1066,Air,lncRNA,down,Slc22a2,ENSG00000112499.11,protein coding,transcriptional regulation,,,,Hybridization,Mus musculus ,"Here we show, by inserting a polyadenylation signal that truncates 96% of the RNA transcript, that Air RNA is required for silencing. ",11845212,The non-coding Air RNA is required for silencing autosomal imprinted genes
LncReg_1067,Air,lncRNA,down,Slc22a3,ENSG00000146477.5,protein coding,transcriptional regulation,,,,Hybridization,Mus musculus ,"Here we show, by inserting a polyadenylation signal that truncates 96% of the RNA transcript, that Air RNA is required for silencing. ",11845212,The non-coding Air RNA is required for silencing autosomal imprinted genes
LncReg_1069,BORG,lncRNA,up,BMP2,ENSG00000125845.6,protein coding,transcriptional regulation,,,,RT-PCR,Mus musculus ,"Expression of BORG was dramatically induced in C2C12 cells by the treatment with BMP-2 or OP-1 within 2 h and peaked at 12-24 h, whereas transforming growth factor-beta had a minimal effect.",15300240,The SINE-encoded mouse B2 RNA represses mRNA transcription in response to heat shock
LncReg_107,H19,lncRNA,down,E-cadherin,ENSG00000039068.17,protein coding,transcriptional regulation,slug,TF,Various EMT inducers through multiple signaling pathways (e.g.TGF-?through PI3K–AKT pathway) converge to H19/miR675 to up-regulate their levels. These inducers also up-regulate Slug and resulted in suppression of E-cadherin.,western blot,Homo sapiens,Various EMT inducers through multiple signaling pathways (e.g.TGF-?through PI3K–AKT pathway) converge to H19/miR675 to up-regulate their levels. These inducers also up-regulate Slug and resulted in suppression of E-cadherin.,24703882,Oncofetal H19 RNA promotes tumor metastasis.
LncReg_1070,BORG,lncRNA,up,OP1,ENSG00000101144.11,protein coding,transcriptional regulation,,,,RT-PCR,Mus musculus ,"Expression of BORG was dramatically induced in C2C12 cells by the treatment with BMP-2 or OP-1 within 2 h and peaked at 12-24 h, whereas transforming growth factor-beta had a minimal effect.",15300240,The SINE-encoded mouse B2 RNA represses mRNA transcription in response to heat shock
LncReg_1071,BORG,lncRNA,Inactive,ALP,ENSG00000162551.12,,,,,,activity assay,Mus musculus ,FIG.8. Effect of antisense oligonucleotides of BORG on BMP-2-induced expression of BORG and alkaline phosphatase activity. ,15300240,The SINE-encoded mouse B2 RNA represses mRNA transcription in response to heat shock
LncReg_1072,Braveheart,lncRNA,up,Mesp1,ENSG00000166823.5,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,(E) Bvht is enrich ed in cells expressing a GFP reporter under the contro l of the Mesp1 promoter (pMES P1-GFP) compa red to GFP- negative cells as analyzed by FA CS at day 5 (peak of MesP 1 expressio n) of EB differentia tion followe d by qRT-P CR,23352431,"Braveheart, a long noncoding RNA required for cardiovascular lineage commitment"
LncReg_1073,Braveheart,lncRNA,up,Myh6,ENSG00000197616.10,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Figure 7. Bvht Is Required to Maintain Cardiac Fate in Neonatal Cardiomyocytes,23352431,"Braveheart, a long noncoding RNA required for cardiovascular lineage commitment"
LncReg_1074,Braveheart,lncRNA,up,Myh7,ENSG00000092054.12,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Figure 7. Bvht Is Required to Maintain Cardiac Fate in Neonatal Cardiomyocytes,23352431,"Braveheart, a long noncoding RNA required for cardiovascular lineage commitment"
LncReg_1075,Braveheart,lncRNA,up,Ighmbp2,ENSG00000132740.7,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Figure 7. Bvht Is Required to Maintain Cardiac Fate in Neonatal Cardiomyocytes,23352431,"Braveheart, a long noncoding RNA required for cardiovascular lineage commitment"
LncReg_1076,Braveheart,lncRNA,up,Snai1,ENSG00000124216.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Figure 7. Bvht Is Required to Maintain Cardiac Fate in Neonatal Cardiomyocytes,23352431,"Braveheart, a long noncoding RNA required for cardiovascular lineage commitment"
LncReg_1077,Braveheart,lncRNA,up,Snai2,ENSG00000019549.7,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Figure 7. Bvht Is Required to Maintain Cardiac Fate in Neonatal Cardiomyocytes,23352431,"Braveheart, a long noncoding RNA required for cardiovascular lineage commitment"
LncReg_1078,Braveheart,lncRNA,up,twist,ENSG00000122691.11,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Figure 7. Bvht Is Required to Maintain Cardiac Fate in Neonatal Cardiomyocytes,23352431,"Braveheart, a long noncoding RNA required for cardiovascular lineage commitment"
